"EXAMINATION QUESTION PAPER"
"School / Institute:","CAMBRIDGE INTERNATIONAL SCHOOL MANDI"
"Paper Title:","ANNUAL EXAMINATION - 2026"
"Exam Code:","EXAM-247"
"Class & Subject:","Class 12 > Physics"
"Maximum Marks:","70"
"Duration:","180 Minutes"
"Instructions:","1. All questions are compulsory. | 2. Section A contains 1-mark MCQs. | 3. Section B contains short answer questions. | 4. Use of calculators is not permitted."
""
Q#,Question Text,Option (1),Option (2),Option (3),Option (4),Correct Answer,Marks
"Q22","Two blocks (A) 2 kg and (B) 5 kg rest one over the other on a smooth horizontal plane. The coefficient of static and dynamic friction between (A) and (B) is the same and equal to 0.60. The maximum horizontal force F that can be applied to (B) in order that both (A) and (B) do not have any relative motion is : 2 kg 5 kg"," 42 N","42 kgf","5.4 kgf","1.2 N","",1
"Q23","The coefficient of static friction between two surfaces depend on NL0098","the nature of surface","the shape of the surface in contact","the area of contact","all of the above","",1
"Q24","A body is placed on an inclined place and has to be pushed down in order to make it move. The angle made by the normal reaction with the vertical will be :-","Equal to angle of repose","Equal to the angle of friction","Less than the angle of repose","More than the angle of friction","",1
"Q25","The frictional force of the air on a body of mass 0.25 kg, falling with an accleration of 9.2 m/s^2 , will be :","1.0 N","0.55 N","0.25 N"," 0.15 N","",1
"Q26","Two masses of 10 kg 42 N 5 kg are suspended from a fixed support as shown in figure. The system is pulled down with a force of 150 N attached to the lower mass. The string attached to the support breaks 42 N the system accelerates dowards. If the downward force continues to act, what is the acceleration of the system ?","20 m/s^2","10 m/s^2","5 m/s^2","zero","",1
"Q27","Two blocks of masses 6 kg 42 N 4 kg connected by a rope of  mass 2 kg are resting on a frictionless floor as shown in the following figure. If a constant force of 60 N is applied to 6 kg block, then the tension in the rope at points A, B and C are respectively given by:","60 N, 60 N, 60 N","30 N, 25 N, 20 N","20 N, 25 N, 30 N","20 N, 20 N, 20 N","",1
"Q28","In the fig. mass $M = 10$ g. is placed on an inclined plane. In order to keep it at rest, the value of mass m will be:","5 g","$10\sqrt{3}$ g","0.10 g","$\sqrt{3}$ g","",1
"Q29","® 220 Prtical : Physics ALLEN","","","","","",1
"Q30","Two blocks each having a mass M are placed as shown in the figure. The acceleration of the system is :-","0","$\frac{g\sin\theta}{2}$","$g\sin\theta$","$2g\sin\theta$","",1
"Q31","Two masses of 10 kg and 20 kg respectively are connected by a massless spring as shown in the figure. A force of 200 N acts on the 20 kg mass. At the instant shown the 10 kg mass has an acceleration 4 m/s^2  rightwards. What is the acceleration of 20 kg mass ?","Zero","10 m/s^2","4 m/s^2","8 m/s^2","",1
"Q32","The surface is frictionless, the ratio of T 1  and T 2  is :-","$\sqrt{3}$ : 1","1 :$\sqrt{3}$","1 : 5","5 : 1","",1
"Q33","Three masses of 1 kg, 6 kg and 3 kg are connected to each other with threads and are placed on a table as shown in figure. What is the acceleration with which the system is moving ? (Take $g = 10$ m/s^2 )","Zero","2 m/s^2","4 m/s^2","3 m/s^2","",1
"Q34","Two blocks each of mass M are resting on a frictionless inclined planes as shown in fig. then","The block A moves down the plane","The block B moves down the plane","Both the blocks remain at rest","Both the blocks move down the plane.","",1
"Q35","Two blocks of masses 2 kg and 1 kg are in contact with each other on a frictionless table. When a horizontal force of 3.0 N is applied to the block of mass 2 kg the value of the force of contact between the two blocks is -","4 N","3 N","5 N","1 N","",1
"Q36","Three blocks are connected as shown in fig. on a horizontal frictionless table if m 1  = 1 kg, m^2  = 8 kg, m^3  = 27 kg and T 3  = 36N, T 2  will be :-","18 N","9 N","3.375 N","1.75 N","",1
"Q37","Three blocks of masses m_{1},m_{2}  and m_{3}  are connected by massless strings as shown in the figure on a frictionless table. They are pulled with a force of 40 N. If m_{1}  = 10 kg, m_{2}  = 6 kg and m_{3}  = 4 kg, then tension T_{2}  will be :-","10 N","20 N","32 N","40 N","",1
"Q38","Three masses M_{1}, M_{2}  and M_{3}  are lying on a frictionless table. The masses are connected by massless threads as shown. The mass M_{3}  is pulled by a constant force F as shown. The tension in the thread between masses M_{2}  and M_{3}  is","\left( \frac{M_{1}+M_{2}}{M_{1}+M_{2}+M_{3}} \right) F","\left( \frac{M_{2}+M_{3}}{M_{1}+M_{2}+M_{3}} \right) F","\left( \frac{M_{1}+M_{3}}{M_{1}+M_{2}+M_{3}} \right) F","\left( \frac{M_{1}-M_{2}}{M_{1}+M_{2}+M_{3}} \right) F","",1
"Q39","Two bodies A and B of masses 10 kg and 15 kg respectively kept on a smooth, horizontal surface are tied to the ends of a light string. If T represents the tension in the string when a horizontal force $F = 500$ N is appleid to A (as shown in figure 1) and T' be the tension when it is applied to B (figure2), then which of the following is true?","","","T = T' = 500 N","T = T' = 250 N","",1
"Q40","Two bodies A and B of masses 10 kg and 15 kg respectively kept on a smooth, horizontal surface are tied to the ends of a light string. If T represents the tension in the string when a horizontal force $F = 500$ N is appleid to A (as shown in figure 1) and T' be the tension when it is applied to B (figure2), then which of the following is true?","T = T' = 500 N","T = T' = 250 N","$T = 200$ N, T' = 300 N","$T = 300$ N, T' = 200 N","",1
"Q41","A man is standing at a spring platform. Reading of spring balance is 60 kg-wt. If the man jumps off from the platform, then reading of spring balance","First increases then decreases to zero","Decreases","Increases","Remains same","",1
"Q42","A boy sitting on the upper berth in the compartment of a train, which is about to stop at a railway station, drops an apple aiming at the open hand of his brother vertically below his hands at a distance of about 2 m. The apple will fall :-","In the hand of his brother","Slightly away from the hands of his brother in","Slightly away from the hands of his brother in","None of the above","",1
"Q43","The ratio of weights of a man in a stationary lift and in a lift accelerating downwards with a uniform acceleration is 3 : 2. The acceleration of the lift is:-","$\frac{g}{3}$","$\frac{4}{3}$ g","$\frac{g}{2}$","g","",1
"Q44","A man weighing 100 kg carries a load of 10 kg on his head. He jumps from a tower with the load on his head. What will be the weight of the load as experienced by the man ?","zero","10 kg","slightly more than 10 kg","110 kg","",1
"Q45","Two masses m_{1}  and m_{2}  are joined by a spring as shown. The system is dropped to the ground from a certain height. The spring will be :- ","(1) Stretched when m_{2}  > m_{2} ","compressed when m_{2} < m_{1}","neither compressed nor stretched only when m_{1} = m_{2}","neither compressed nor stretched regardless of the values of m_{1}  and m_{2} ","",1
